"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"206",117524.338611821,302374.063837638,288029.987173803,19.9719984616043,22.1039459286846,20.8005770084941
"207",127759.608818031,302575.266791416,295230.412147186,20.3496941600267,22.2990517804819,20.8470616106865
"208",125658.638307588,313590.024093615,269704.060857012,20.9872014799072,22.7155210834764,21.8667992383394
"209",114945.385658062,296928.081260543,275844.8789286,21.0641406103401,22.9850069757506,21.7395251385783
"210",122008.991080937,324752.954601597,289481.141042641,20.6348803956923,22.5179935273051,21.3137652044709
"211",116505.734701579,315226.502825281,281584.094754573,19.6844154885319,21.3996520660473,20.540019967957
"212",110810.280357255,281515.413703792,249706.077283186,21.7560825030465,23.274961471892,22.4031947734293
"213",116507.484293601,295096.798065983,259757.419295204,21.1492166905748,23.0035926527462,21.9812950205708
"214",115770.19951675,302333.090139309,294301.936962472,19.6783146930832,21.7189076918621,20.4749706306885
"215",117523.180305177,290135.395900683,262760.398462415,20.7441596958003,22.9749462748901,21.2694758508325
"216",127939.514577443,352176.437258192,331846.697325362,19.2592520245586,21.1143939603965,19.9639183475843
"217",107240.271409469,292971.003559176,247037.893038734,20.1155807877296,22.1655956787606,21.1330221491692
"218",136674.431738994,351446.70352768,325332.181442465,18.2866754678215,20.7519196410597,18.9623660943837
"219",122391.24680145,325667.058153145,319007.11699194,19.7680581785601,21.4339387035906,20.3934223121636
"220",119532.387396533,287908.322931546,269958.116590065,20.3760498402704,22.4765349238367,21.1022196480757
"221",109791.13407482,299585.622395354,286908.014931932,19.9889242893669,21.9032291063033,20.7512712740582
"222",112070.380139658,260118.101878313,241339.402778934,21.943311964853,23.5414274291682,22.7031598613795
"223",126596.510032128,306691.115274474,281456.127348451,21.1175564006852,22.89370134391,21.894138866076
"224",128524.814943751,305740.234020647,298772.650869456,20.669861378818,22.6123937263746,21.2206767008434
"225",120740.426554269,322254.839613567,294582.608932141,20.5186141648383,22.3342768373733,21.2716492434155
"226",123158.745936022,325987.623895099,298228.357829199,20.1899116087172,22.0614317266874,20.8003180046692
"227",112078.921920873,350718.072632405,321627.92469028,19.5942292215011,21.0951685347482,20.5389225769647
"228",131133.846490652,338432.623830898,321331.51467721,19.4429119829935,21.3735907896885,20.1689306929761
"229",109271.704372693,281954.956178259,259127.657093512,20.8074539867438,22.3615482035101,21.5393499128865
"230",127215.28980539,316168.681338726,305247.502988197,20.2265664969589,22.2606941366705,20.7609753310509
"231",128234.461803993,363535.217389063,349527.201046486,18.9274082992595,20.9346264811959,19.5863656844885
"232",105417.206981108,269930.391090111,242176.405163228,21.1597658128952,22.7509898989797,22.0606875442726
"233",109007.172799687,307839.494384349,285510.119776,20.459786948609,22.0346731661198,21.4485054514163
"234",118530.478742405,313265.839048324,285108.119027778,20.4306902330105,22.2870879072404,21.0769696478999
"235",119742.398919843,310444.980682225,271425.248924557,20.7993618796617,22.7262596569325,21.6695693060907
"236",121302.305865681,315794.175127544,295481.457582538,19.5558379429897,21.757052116666,20.2893898789273
"237",109923.662652525,264981.928177757,238963.504303657,21.5842932131249,23.1049990708873,22.4454183332229
"238",120361.597276376,304049.498791896,282264.517336141,20.3078924896869,22.4039518430421,21.047149099779
"239",113097.226804269,296123.759079697,250006.058291456,21.1944922678431,22.8092751377704,22.1956293408359
"240",125085.537407964,312819.962762565,290544.461185743,20.3518417790537,22.2705432485779,21.106748580358
"241",111775.622695782,252375.072419776,235176.620480627,22.3536710800162,23.9402982272916,22.9387868893495
"242",112920.850550402,284631.739507603,266677.333087328,20.69624128095,22.4536925327084,21.4655325688699
"243",131164.900095864,316669.142370477,284095.654810945,21.3362975464387,23.2281152677172,21.9852569649245
"244",121081.020400975,313591.535063988,306597.999761544,20.209945668872,22.084219183387,20.8257522738608
